Category,Metric,Value,,Value,Expected Probability,Observed Frequency,Cumulative Probability,Adjusted P-Value
Top - Bottom,mean,-0.0077,,-26,0.000010,1,0.000012,
Top - Bottom,variance,37.8032,,-24,0.000045,7,0.000058,
Top - Bottom,stdDev,6.1484,,-22,0.000188,18,0.000246,
Top - Bottom,median,0,,-20,0.000590,59,0.000836,
Top - Bottom,min,-26,,-18,0.001706,159,0.002542,
Top - Bottom,max,26,,-16,0.004359,428,0.006901,
Top - Bottom,skewness,-0.01,,-14,0.009855,1005,0.016755,
Top - Bottom,kurtosis,-0.0659,,-12,0.019731,1937,0.036486,
Top - Bottom,,,,-10,0.035157,3564,0.071643,
Top - Bottom,,,,-8,0.056142,5668,0.127785,
Top - Bottom,,,,-6,0.081005,8094,0.208790,
Top - Bottom,,,,-4,0.104886,10456,0.313676,
Top - Bottom,,,,-2,0.122134,12161,0.435810,
Top - Bottom,,,,0,0.128611,12652,1.000000,
Top - Bottom,,,,2,0.122155,12343,0.435579,
Top - Bottom,,,,4,0.104671,10697,0.313424,
Top - Bottom,,,,6,0.080964,8114,0.208753,
Top - Bottom,,,,8,0.056223,5598,0.127789,
Top - Bottom,,,,10,0.035105,3491,0.071566,
Top - Bottom,,,,12,0.019665,1881,0.036461,
Top - Bottom,,,,14,0.009883,1010,0.016796,
Top - Bottom,,,,16,0.004357,436,0.006913,
Top - Bottom,,,,18,0.001726,153,0.002556,
Top - Bottom,,,,20,0.000597,49,0.000830,
Top - Bottom,,,,22,0.000173,10,0.000233,
Top - Bottom,,,,24,0.000047,7,0.000060,
Top - Bottom,,,,26,0.000011,2,0.000013,
Left - Right,mean,0.0379,,-24,0.000015,1,0.000024,
Left - Right,variance,35.8387,,-23,0.000030,2,0.000054,
Left - Right,stdDev,5.9865,,-22,0.000060,5,0.000114,
Left - Right,median,0,,-21,0.000119,14,0.000234,
Left - Right,min,-24,,-20,0.000231,20,0.000464,
Left - Right,max,26,,-19,0.000404,37,0.000868,
Left - Right,skewness,0.0114,,-18,0.000702,56,0.001571,
Left - Right,kurtosis,-0.0421,,-17,0.001138,117,0.002708,
Left - Right,,,,-16,0.001903,187,0.004611,
Left - Right,,,,-15,0.002845,320,0.007456,
Left - Right,,,,-14,0.004445,383,0.011901,
Left - Right,,,,-13,0.006246,612,0.018147,
Left - Right,,,,-12,0.009233,874,0.027380,
Left - Right,,,,-11,0.012277,1220,0.039658,
Left - Right,,,,-10,0.017114,1644,0.056772,
Left - Right,,,,-9,0.021491,2140,0.078263,
Left - Right,,,,-8,0.027944,2815,0.106206,
Left - Right,,,,-7,0.033477,3230,0.139683,
Left - Right,,,,-6,0.041104,4145,0.180787,
Left - Right,,,,-5,0.046302,4638,0.227089,
Left - Right,,,,-4,0.053970,5416,0.281060,
Left - Right,,,,-3,0.057705,5823,0.338765,
Left - Right,,,,-2,0.063518,6479,0.402283,
Left - Right,,,,-1,0.064177,6317,0.466459,
Left - Right,,,,0,0.066902,6659,1.000000,
Left - Right,,,,1,0.064423,6449,0.466639,
Left - Right,,,,2,0.063387,6426,0.402215,
Left - Right,,,,3,0.057788,5699,0.338828,
Left - Right,,,,4,0.053893,5491,0.281041,
Left - Right,,,,5,0.046308,4619,0.227148,
Left - Right,,,,6,0.041109,4074,0.180839,
Left - Right,,,,7,0.033453,3338,0.139731,
Left - Right,,,,8,0.028024,2805,0.106277,
Left - Right,,,,9,0.021548,2189,0.078254,
Left - Right,,,,10,0.017016,1743,0.056706,
Left - Right,,,,11,0.012320,1244,0.039689,
Left - Right,,,,12,0.009229,945,0.027369,
Left - Right,,,,13,0.006294,617,0.018141,
Left - Right,,,,14,0.004453,434,0.011847,
Left - Right,,,,15,0.002825,320,0.007393,
Left - Right,,,,16,0.001883,181,0.004568,
Left - Right,,,,17,0.001110,96,0.002685,
Left - Right,,,,18,0.000706,72,0.001575,
Left - Right,,,,19,0.000386,43,0.000869,
Left - Right,,,,20,0.000230,26,0.000483,
Left - Right,,,,21,0.000121,20,0.000252,
Left - Right,,,,22,0.000070,7,0.000132,
Left - Right,,,,23,0.000031,7,0.000062,
Left - Right,,,,26,0.000003,1,0.000005,
Center 9 Top - Bottom,mean,-0.0171,,-17,0.000028,1,0.000041,
Center 9 Top - Bottom,variance,18.001,,-16,0.000067,5,0.000108,
Center 9 Top - Bottom,stdDev,4.2428,,-15,0.000165,19,0.000272,
