Category,Difference,pValue,Cumulative P-Value,Observed Frequency
Top - Bottom,0,0.128528,,1285277
Top - Bottom,2,0.122284,0.435885,1222838
Top - Bottom,4,0.104689,0.313601,1046886
Top - Bottom,6,0.080998,0.208913,809976
Top - Bottom,8,0.056245,0.127915,562454
Top - Bottom,10,0.035149,0.071670,351493
Top - Bottom,12,0.019705,0.036521,197047
Top - Bottom,14,0.009892,0.016816,98923
Top - Bottom,16,0.004418,0.006924,44182
Top - Bottom,18,0.001673,0.002505,16734
Top - Bottom,20,0.000592,0.000832,5924
Top - Bottom,22,0.000181,0.000240,1812
Top - Bottom,24,0.000044,0.000058,443
Top - Bottom,26,0.000012,0.000014,115
Top - Bottom,28,0.000002,0.000003,24
Top - Bottom,30,0.000000,0.000000,2
Top - Bottom,-30,0.000000,0.000000,3
Top - Bottom,-28,0.000002,0.000002,19
Top - Bottom,-26,0.000010,0.000012,97
Top - Bottom,-24,0.000048,0.000059,475
Top - Bottom,-22,0.000179,0.000239,1795
Top - Bottom,-20,0.000587,0.000826,5871
Top - Bottom,-18,0.001710,0.002537,17105
Top - Bottom,-16,0.004398,0.006934,43978
Top - Bottom,-14,0.009869,0.016803,98691
Top - Bottom,-12,0.019699,0.036502,196989
Top - Bottom,-10,0.035311,0.071813,353106
Top - Bottom,-8,0.056167,0.127980,561668
Top - Bottom,-6,0.080947,0.208926,809465
Top - Bottom,-4,0.104638,0.313565,1046384
Top - Bottom,-2,0.122022,0.435587,1220224
Left - Right,0,0.066992,,669919
Left - Right,1,0.064281,0.466506,642808
Left - Right,2,0.063422,0.402225,634217
Left - Right,3,0.057574,0.338803,575741
Left - Right,4,0.053930,0.281229,539299
Left - Right,5,0.046273,0.227299,462733
Left - Right,6,0.041180,0.181026,411802
Left - Right,7,0.033389,0.139846,333889
Left - Right,8,0.028107,0.106457,281068
Left - Right,9,0.021448,0.078350,214478
Left - Right,10,0.017077,0.056902,170775
Left - Right,11,0.012344,0.039825,123436
Left - Right,12,0.009254,0.027481,92538
Left - Right,13,0.006314,0.018227,63138
Left - Right,14,0.004459,0.011914,44586
Left - Right,15,0.002857,0.007455,28574
Left - Right,16,0.001900,0.004598,18999
Left - Right,17,0.001118,0.002698,11184
Left - Right,18,0.000724,0.001579,7245
Left - Right,19,0.000383,0.000855,3831
Left - Right,20,0.000226,0.000472,2255
Left - Right,21,0.000119,0.000246,1189
Left - Right,22,0.000066,0.000127,659
Left - Right,23,0.000033,0.000061,327
Left - Right,24,0.000017,0.000029,173
Left - Right,25,0.000006,0.000011,59
Left - Right,26,0.000003,0.000005,31
Left - Right,27,0.000001,0.000002,13
Left - Right,28,0.000000,0.000001,5
Left - Right,29,0.000000,0.000001,5
Left - Right,31,0.000000,0.000000,1
Left - Right,-29,0.000000,0.000000,3
Left - Right,-28,0.000000,0.000001,5
Left - Right,-27,0.000001,0.000002,10
Left - Right,-26,0.000003,0.000005,35
Left - Right,-25,0.000006,0.000011,60
Left - Right,-24,0.000015,0.000026,145
Left - Right,-23,0.000032,0.000058,322
Left - Right,-22,0.000066,0.000124,663
Left - Right,-21,0.000119,0.000244,1192
Left - Right,-20,0.000226,0.000469,2258
Left - Right,-19,0.000384,0.000854,3844
Left - Right,-18,0.000699,0.001553,6992
Left - Right,-17,0.001125,0.002678,11246
Left - Right,-16,0.001890,0.004567,18898
Left - Right,-15,0.002845,0.007412,28446
Left - Right,-14,0.004420,0.011832,44197
Left - Right,-13,0.006315,0.018147,63151
Left - Right,-12,0.009285,0.027431,92847
Left - Right,-11,0.012380,0.039811,123796
Left - Right,-10,0.017103,0.056914,171032
Left - Right,-9,0.021469,0.078383,214689
Left - Right,-8,0.027956,0.106339,279557
Left - Right,-7,0.033381,0.139720,333811
Left - Right,-6,0.041119,0.180839,411191
Left - Right,-5,0.046390,0.227229,463897
Left - Right,-4,0.053857,0.281085,538566
Left - Right,-3,0.057675,0.338761,576752
Left - Right,-2,0.063487,0.402247,634870
Left - Right,-1,0.064255,0.466502,642548
Center 9 Top - Bottom,0,0.093873,,938735
Center 9 Top - Bottom,1,0.091406,0.453129,914060
Center 9 Top - Bottom,2,0.083918,0.361723,839178
Center 9 Top - Bottom,3,0.073184,0.277805,731839
Center 9 Top - Bottom,4,0.060477,0.204622,604766
Center 9 Top - Bottom,5,0.046996,0.144145,469964
Center 9 Top - Bottom,6,0.034691,0.097148,346906
Center 9 Top - Bottom,7,0.024272,0.062458,242724
Center 9 Top - Bottom,8,0.016033,0.038185,160327
Center 9 Top - Bottom,9,0.009899,0.022153,98989
Center 9 Top - Bottom,10,0.005846,0.012254,58456
Center 9 Top - Bottom,11,0.003217,0.006408,32167
Center 9 Top - Bottom,12,0.001703,0.003192,17031
Center 9 Top - Bottom,13,0.000827,0.001489,8270
Center 9 Top - Bottom,14,0.000387,0.000661,3865
Center 9 Top - Bottom,15,0.000167,0.000275,1667
Center 9 Top - Bottom,16,0.000069,0.000108,686
Center 9 Top - Bottom,17,0.000027,0.000040,273
Center 9 Top - Bottom,18,0.000009,0.000012,91
Center 9 Top - Bottom,19,0.000002,0.000003,21
Center 9 Top - Bottom,20,0.000001,0.000001,7
Center 9 Top - Bottom,21,0.000000,0.000000,2
Center 9 Top - Bottom,22,0.000000,0.000000,3
Center 9 Top - Bottom,-23,0.000000,0.000000,1
Center 9 Top - Bottom,-22,0.000000,0.000000,1
Center 9 Top - Bottom,-21,0.000000,0.000000,3
Center 9 Top - Bottom,-20,0.000002,0.000002,15
Center 9 Top - Bottom,-19,0.000003,0.000005,32
Center 9 Top - Bottom,-18,0.000009,0.000014,91
Center 9 Top - Bottom,-17,0.000024,0.000039,243
Center 9 Top - Bottom,-16,0.000070,0.000109,702
Center 9 Top - Bottom,-15,0.000167,0.000276,1674
Center 9 Top - Bottom,-14,0.000392,0.000668,3922
Center 9 Top - Bottom,-13,0.000822,0.001491,8221
Center 9 Top - Bottom,-12,0.001707,0.003198,17073
Center 9 Top - Bottom,-11,0.003250,0.006448,32497
Center 9 Top - Bottom,-10,0.005837,0.012284,58366
Center 9 Top - Bottom,-9,0.009940,0.022224,99396
Center 9 Top - Bottom,-8,0.015987,0.038211,159870
Center 9 Top - Bottom,-7,0.024225,0.062436,242254
Center 9 Top - Bottom,-6,0.034832,0.097268,348320
Center 9 Top - Bottom,-5,0.047116,0.144384,471157
Center 9 Top - Bottom,-4,0.060331,0.204715,603314
Center 9 Top - Bottom,-3,0.073077,0.277792,730770
Center 9 Top - Bottom,-2,0.084091,0.361884,840913
Center 9 Top - Bottom,-1,0.091114,0.452997,911138
00 - 0,0,0.126470,,1264698
00 - 0,1,0.120362,0.436684,1203621
00 - 0,2,0.103419,0.316321,1034189
00 - 0,3,0.080221,0.212903,802206
00 - 0,4,0.056406,0.132682,564058
00 - 0,5,0.035936,0.076276,359362
00 - 0,6,0.020707,0.040340,207068
00 - 0,7,0.010893,0.019633,108927
00 - 0,8,0.005179,0.008741,51794
00 - 0,9,0.002220,0.003561,22205
00 - 0,10,0.000881,0.001341,8806
00 - 0,11,0.000311,0.000460,3108
00 - 0,12,0.000107,0.000149,1075
00 - 0,13,0.000030,0.000042,299
00 - 0,14,0.000009,0.000012,91
00 - 0,15,0.000002,0.000003,20
00 - 0,16,0.000000,0.000001,5
00 - 0,17,0.000000,0.000000,1
00 - 0,18,0.000000,0.000000,1
00 - 0,-19,0.000000,0.000000,1
00 - 0,-17,0.000000,0.000000,1
