Category,Difference,Observed Frequency,pValue,Cumulative P-Value,Points
00 - 0,-17,4,0.00000040,0.00000040,2500000
00 - 0,-16,4,0.00000040,0.00000080,1250000
00 - 0,-15,27,0.00000270,0.00000350,285714
00 - 0,-14,81,0.00000810,0.00001160,86207
00 - 0,-13,291,0.00002910,0.00004070,24570
00 - 0,-12,1048,0.00010480,0.00014550,6873
00 - 0,-11,3110,0.00031100,0.00045650,2191
00 - 0,-10,8722,0.00087220,0.00132870,753
00 - 0,-9,22430,0.00224300,0.00357170,280
00 - 0,-8,51924,0.00519240,0.00876410,114
00 - 0,-7,108810,0.01088100,0.01964510,51
00 - 0,-6,207803,0.02078030,0.04042540,25
00 - 0,-5,359128,0.03591280,0.07633820,13
00 - 0,-4,565789,0.05657890,0.13291710,8
00 - 0,-3,804298,0.08042980,0.21334690,5
00 - 0,-2,1034890,0.10348900,0.31683590,3
00 - 0,-1,1202739,0.12027390,0.43710980,2
00 - 0,0,1264431,0.12644310,0,0
00 - 0,1,1202145,0.12021450,0.43644710,2
00 - 0,2,1033202,0.10332020,0.31623260,3
00 - 0,3,802188,0.08021880,0.21291240,5
00 - 0,4,563692,0.05636920,0.13269360,8
00 - 0,5,358889,0.03588890,0.07632440,13
00 - 0,6,208047,0.02080470,0.04043550,25
00 - 0,7,108820,0.01088200,0.01963080,51
00 - 0,8,51717,0.00517170,0.00874880,114
00 - 0,9,22415,0.00224150,0.00357710,280
00 - 0,10,8829,0.00088290,0.00133560,749
00 - 0,11,3092,0.00030920,0.00045270,2209
00 - 0,12,994,0.00009940,0.00014350,6969
00 - 0,13,320,0.00003200,0.00004410,22676
00 - 0,14,91,0.00000910,0.00001210,82645
00 - 0,15,21,0.00000210,0.00000300,333333
00 - 0,16,8,0.00000080,0.00000090,1111111
00 - 0,18,1,0.00000010,0.00000010,10000000
Bottom,4,3,0.00000030,0.00000030,3333333
Bottom,5,18,0.00000180,0.00000210,476190
Bottom,6,88,0.00000880,0.00001090,91743
Bottom,7,471,0.00004710,0.00005800,17241
Bottom,8,1793,0.00017930,0.00023730,4214
Bottom,9,5999,0.00059990,0.00083720,1194
Bottom,10,17095,0.00170950,0.00254670,393
Bottom,11,43816,0.00438160,0.00692830,144
Bottom,12,98531,0.00985310,0.01678140,60
Bottom,13,197196,0.01971960,0.03650100,27
Bottom,14,350685,0.03506850,0.07156950,14
Bottom,15,563354,0.05633540,0.12790490,8
Bottom,16,807274,0.08072740,0.20863230,5
Bottom,17,1045573,0.10455730,0.31318960,3
Bottom,18,1221710,0.12217100,0.43536060,2
Bottom,19,1286709,0.12867090,0.56463940,2
Bottom,20,1220251,0.12202510,0.43596850,2
Bottom,21,1048745,0.10487450,0.31394340,3
Bottom,22,808334,0.08083340,0.20906890,5
Bottom,23,563828,0.05638280,0.12823550,8
Bottom,24,352533,0.03525330,0.07185270,14
