#,6,21,33,16,4,23,35,14,2,0,28,9,26,30,11,7,20,32,17,5,22,34,15,3,24,36,13,1,37,27,10,25,29,12,8,19,31,18
1,2,,2,,3,1,1,,1,2,2,,,,2,1,1,,1,,,1,3,3,,1,,1,2,,3,,3,,2,,,
2,,1,1,2,1,,1,3,3,,,,,3,2,1,1,,,1,,1,2,1,1,,2,,,,1,1,2,3,2,1,1,
3,2,,1,1,1,1,3,,1,,1,1,1,,1,2,1,1,1,1,1,,1,,1,3,2,1,1,1,,1,,2,2,,,2
4,2,1,,,1,3,1,1,2,1,1,2,1,,1,1,,,1,1,1,2,,,1,1,5,1,,1,1,1,1,,1,,2,
5,1,2,2,,1,4,1,,,1,2,2,,,1,1,,,2,2,,,1,2,,1,1,1,1,2,,4,,,2,,1,
6,2,2,,,,,2,,2,1,2,,1,2,,2,1,1,1,,1,2,,1,1,,2,,,3,,2,,1,3,,,3
7,,1,1,,1,,3,1,3,1,,1,1,1,2,,,,,1,1,,1,3,1,1,1,1,2,1,2,,1,2,,2,2,
8,1,,,2,,1,,2,,1,,,1,3,,1,1,1,1,,1,1,,1,2,1,2,1,3,,,1,1,2,,1,2,4
9,1,1,2,3,2,,,1,1,,1,,1,2,2,1,,1,1,1,1,1,,2,2,1,1,,,2,,,1,4,1,1,,
10,,,3,2,1,1,,1,,1,1,1,3,,1,,3,1,1,2,,,,2,,,,3,2,,1,1,2,,,2,,3
11,,,,,2,,1,1,2,3,1,1,1,2,,2,1,,,1,3,1,1,1,1,1,2,,2,,,1,2,,1,2,1,1
12,,1,1,2,,,,1,2,2,,,2,,1,,2,,,,1,1,1,1,1,1,1,3,1,4,1,2,1,1,1,1,,2
13,,1,3,1,,1,3,2,2,1,,2,,1,1,,,,2,1,,1,3,,,,1,1,2,1,1,1,,1,,,4,1
14,,4,1,1,,5,,,3,,,2,1,2,,2,,1,,1,2,2,,,3,,1,2,1,1,,,,1,,1,1,
15,1,,,,,,,2,1,1,1,,2,3,5,3,,2,,,,1,,1,1,2,,,3,1,1,3,1,,,,2,1
16,,,1,,2,2,1,3,,2,2,,,2,2,,,,2,1,,2,,,1,2,1,1,2,,,1,,2,,3,1,2
17,,,2,,1,2,1,,1,,1,1,1,2,1,,,2,1,1,1,1,1,3,,,,2,1,,1,1,1,2,,2,3,2
18,,,2,,1,,3,3,1,3,1,,1,1,2,1,1,1,1,,2,1,1,1,1,1,1,2,,1,2,,,1,1,,,1
19,2,,1,2,2,,1,3,1,2,,,,1,,,1,1,1,,,2,2,,1,4,2,,,,1,3,1,,2,2,,
