#,6,21,33,16,4,23,35,14,2,0,28,9,26,30,11,7,20,32,17,5,22,34,15,3,24,36,13,1,37,27,10,25,29,12,8,19,31,18
1,3,1,,,1,2,2,1,1,1,,2,1,2,1,,2,,,1,,1,1,2,,2,1,2,1,1,1,1,2,,1,1,,
2,2,3,1,1,,3,,,2,,,1,,,,1,,1,2,1,2,1,,,,,3,3,,1,,,4,2,2,,1,1
3,,1,4,,2,1,2,,1,,,4,2,1,1,,1,,,,1,1,1,,,1,2,,1,1,2,,2,2,1,2,1,
4,,,1,,,,1,,3,,1,3,2,,,1,2,,1,2,3,2,1,,3,4,,,,1,1,2,1,,2,1,,
5,1,3,,,1,1,1,1,1,,3,3,,,2,2,,,1,1,2,,1,2,,1,2,1,1,,,1,,1,1,1,,3
6,1,2,,2,,1,1,,,1,1,3,2,,3,,,,2,2,1,1,1,,1,1,,2,2,,1,2,,1,1,2,1,
7,1,1,,1,2,1,,1,1,3,1,3,,,1,,2,1,,,,,1,,1,2,3,2,,1,2,1,,,,1,3,2
8,,4,1,1,,1,,2,,2,,,2,2,,,,1,,1,,2,1,1,1,2,3,,1,1,1,,1,1,1,2,,3
9,3,1,3,1,,,1,1,1,,3,2,1,1,1,,2,,2,,1,1,,2,,1,1,2,,,,2,2,1,2,,,
10,,,1,,2,,1,1,2,1,1,2,1,,2,1,1,,1,1,1,,1,1,1,2,1,,2,1,2,1,,3,3,,1,
11,2,2,1,,,1,1,2,1,1,3,2,2,2,1,,1,,1,,1,,2,3,1,,2,1,1,,1,,2,,,,1,
12,1,,1,1,2,,1,2,1,2,,1,,1,,,1,1,3,2,2,1,,1,1,,3,,1,,,1,3,,1,1,2,1
13,,,2,2,1,3,2,,1,3,,1,1,,1,1,1,,1,3,,,3,,,2,,,,2,1,1,,2,,1,,3
14,,4,,,2,,1,1,,1,1,2,4,1,,1,,1,2,,2,1,1,,2,,3,2,,,,1,2,1,,2,,
15,3,2,1,1,1,,1,2,2,1,,2,,,,1,1,,1,,2,,1,1,2,,,,3,,1,2,1,,1,1,3,1
16,2,,2,1,1,2,2,,,,,1,,,,,1,3,,1,1,2,3,1,2,1,2,2,,2,,,2,1,1,,1,1
17,1,2,3,,2,2,2,,,,1,1,,1,1,,,2,2,3,2,1,,1,1,,,1,,2,1,,2,1,1,1,,1
18,,1,,2,3,1,,2,,,1,2,1,1,,,1,1,,2,,1,1,2,1,1,1,,,2,3,1,,2,2,1,1,1
19,,,1,2,1,1,,2,,1,1,,,,1,2,,,,1,3,2,,,2,,3,2,2,,1,1,3,1,2,2,1,
20,1,,1,1,1,2,3,2,2,,,,1,,,,,3,5,2,,,,2,1,1,,3,,1,,,1,1,1,1,1,1
21,1,1,2,2,1,4,1,1,1,,,1,,,1,2,4,,,1,,1,2,,1,,,2,2,1,2,,,1,,3,,
22,1,1,2,1,1,,,1,,1,2,1,2,,3,,1,3,,,1,1,1,1,1,1,1,1,,,1,,3,3,1,1,,1
23,3,,2,2,,1,,1,1,1,1,,,1,,,1,2,,,3,2,1,1,1,,1,2,1,1,3,,1,1,2,2,,
24,2,,,,2,2,2,1,,,1,3,,4,1,,1,2,2,1,2,2,1,,,1,1,1,,2,1,2,,,,1,,
25,2,1,,,1,,2,1,,,1,,,2,3,,,,1,2,2,,1,,1,3,1,,1,1,2,,3,2,1,,1,3
26,1,3,1,,2,,1,1,2,2,1,,,1,,2,2,,,2,2,2,,,1,,,3,1,,1,1,2,1,,,1,2
27,,5,,,2,,,,1,3,1,1,,,,1,2,,,,,,2,1,2,3,,1,1,2,1,1,1,1,3,1,1,1
28,2,1,,1,1,,1,,,2,1,1,1,2,3,1,1,4,1,,2,,1,1,,1,,2,,1,2,1,1,,,2,1,
29,1,1,2,2,1,1,2,1,1,1,1,,1,,2,2,2,,,,,1,1,,,2,1,1,1,,1,1,,2,2,2,2,
30,2,1,1,,,3,1,,1,,,,,1,2,3,2,,2,,2,1,,,1,2,,1,2,1,1,1,2,3,,,1,1
31,2,2,1,2,,,,3,,1,,1,2,2,5,3,,1,,,,,3,,,,1,2,1,,2,1,1,,1,1,,
32,2,3,,,1,1,,2,2,,1,,2,1,1,,1,1,1,1,1,1,1,2,,1,2,1,1,,,1,1,1,1,1,1,2
33,1,,3,,1,3,,1,1,,1,,,,,1,,,1,1,2,2,,1,1,,1,,,2,2,1,2,,2,1,3,4
34,,1,2,1,,,3,,1,1,1,3,,2,2,1,1,4,1,1,2,,,2,,1,,1,,1,1,1,1,,1,,,2
35,1,,3,,1,1,3,,1,2,,1,1,4,2,2,,2,1,,1,,2,1,,,3,,,1,1,,1,1,2,,,
36,1,1,1,2,1,,,1,1,,3,2,,1,1,,1,,,,2,,1,,,1,,1,2,4,3,1,2,,1,2,2,
37,2,,2,1,1,,,,3,4,1,1,,1,,2,2,2,1,1,1,2,1,,1,3,,1,1,1,,1,,,1,,,1
38,,1,,1,,2,1,1,1,,4,3,1,2,1,,,,,,1,1,1,1,2,2,1,1,1,2,1,1,,,3,,,2
39,,2,2,,2,3,,,2,,2,1,1,3,2,,,1,1,1,1,2,1,,1,,2,1,1,2,,1,1,,1,1,,
40,2,1,,2,6,1,1,1,,2,1,1,2,1,1,1,1,1,,,2,1,,,1,,1,,,1,1,2,,,,1,1,2
41,1,,,,1,1,2,1,,1,2,3,,,1,1,2,1,,5,,2,1,1,1,,1,1,2,1,,1,3,2,,,,
42,3,1,3,3,1,,,2,,,1,1,1,,1,1,,1,1,,,2,1,,,1,2,1,,4,,1,,,,3,1,2
43,1,,,2,2,3,,,2,,,,1,1,,,1,,1,3,1,1,,1,1,1,4,2,2,1,1,,,2,1,,2,1
44,1,1,2,,2,1,3,,2,2,,2,1,2,,1,1,1,2,1,1,,1,1,,1,,1,1,,,2,1,,,1,1,2
45,2,2,1,3,,1,,1,2,1,,2,1,1,,,1,2,2,1,,2,,1,3,,2,,,2,2,1,2,,,,,
46,1,1,1,1,1,3,2,1,1,,3,,2,1,,1,1,1,1,1,2,1,,1,3,1,2,2,,1,1,,,,,1,,
47,2,1,,1,1,1,,1,2,2,1,,1,,1,,1,,1,,1,1,2,,,,1,3,2,2,1,1,2,2,1,2,,1
48,1,1,,,1,1,1,1,2,3,2,,,1,1,2,,3,,,2,1,2,1,,1,2,1,1,1,,1,,1,1,,3,
49,2,,,2,2,,,1,,2,,1,1,1,4,2,,1,,1,1,,,1,3,3,1,,1,2,1,1,,1,1,1,1,
50,1,,1,2,2,,,1,2,1,4,,,3,2,1,,,3,2,3,1,1,,1,,,,1,,1,2,2,,,,,1
51,1,,2,1,2,2,1,1,,1,,2,,1,,1,1,1,,1,2,2,3,,1,2,2,2,,,,1,2,2,,1,,
52,1,1,,,,2,,2,1,,,1,3,1,3,2,1,1,,1,1,2,,1,,1,2,,,2,,1,1,1,,1,2,3
53,,1,,1,1,,,,,,1,,2,3,1,2,1,2,1,3,,1,1,1,,,3,1,1,1,2,2,2,,2,1,,1
54,1,,1,,4,,2,1,1,,,1,1,2,3,1,1,1,1,,,3,,1,1,,2,1,,,1,,3,2,2,,,1
55,,1,1,3,,,,1,2,1,,1,4,2,1,2,1,,1,2,1,1,2,,,3,,,,2,,2,2,,,1,1,
56,1,1,,2,2,,,2,1,1,1,4,,1,2,,1,1,1,2,1,2,2,1,,,,4,1,,,,,1,1,,1,1
