Category,Difference,pValue,Cumulative P-Value,Observed Frequency,Points
00 - 0,-16,0.00000020,0.00000020,2,5000000
00 - 0,-15,0.00000250,0.00000270,25,370370
00 - 0,-14,0.00000680,0.00000950,68,105263
00 - 0,-13,0.00002860,0.00003810,286,26247
00 - 0,-12,0.00010250,0.00014060,1025,7112
00 - 0,-11,0.00030970,0.00045030,3097,2221
00 - 0,-10,0.00088450,0.00133480,8845,749
00 - 0,-9,0.00223930,0.00357410,22393,280
00 - 0,-8,0.00519180,0.00876590,51918,114
00 - 0,-7,0.01090650,0.01967240,109065,51
00 - 0,-6,0.02072200,0.04039440,207220,25
00 - 0,-5,0.03596580,0.07636020,359658,13
00 - 0,-4,0.05636100,0.13272120,563610,8
00 - 0,-3,0.08030610,0.21302730,803061,5
00 - 0,-2,0.10334860,0.31637590,1033486,3
00 - 0,-1,0.12023130,0.43660720,1202313,2
00 - 0,0,0.12657450,,1265745,0
00 - 0,1,0.12038470,0.43681830,1203847,2
00 - 0,2,0.10339020,0.31643360,1033902,3
00 - 0,3,0.08029070,0.21304340,802907,5
00 - 0,4,0.05644390,0.13275270,564439,8
00 - 0,5,0.03596160,0.07630880,359616,13
00 - 0,6,0.02068600,0.04034720,206860,25
00 - 0,7,0.01088210,0.01966120,108821,51
00 - 0,8,0.00518880,0.00877910,51888,114
00 - 0,9,0.00225160,0.00359030,22516,279
00 - 0,10,0.00089050,0.00133870,8905,747
00 - 0,11,0.00030620,0.00044820,3062,2231
00 - 0,12,0.00010080,0.00014200,1008,7042
00 - 0,13,0.00003070,0.00004120,307,24272
00 - 0,14,0.00000740,0.00001050,74,95238
00 - 0,15,0.00000230,0.00000310,23,322581
00 - 0,16,0.00000050,0.00000080,5,1250000
00 - 0,17,0.00000030,0.00000030,3,3333333
Bottom,3,0.00000010,0.00000010,1,10000000
Bottom,4,0.00000020,0.00000030,2,3333333
Bottom,5,0.00000170,0.00000200,17,500000
Bottom,6,0.00001000,0.00001200,100,83333
Bottom,7,0.00004370,0.00005570,437,17953
Bottom,8,0.00017320,0.00022890,1732,4369
Bottom,9,0.00058760,0.00081650,5876,1225
Bottom,10,0.00173250,0.00254900,17325,392
Bottom,11,0.00438840,0.00693740,43884,144
Bottom,12,0.00983590,0.01677330,98359,60
Bottom,13,0.01972460,0.03649790,197246,27
Bottom,14,0.03511120,0.07160910,351112,14
Bottom,15,0.05630180,0.12791090,563018,8
Bottom,16,0.08086040,0.20877130,808604,5
Bottom,17,0.10466950,0.31344080,1046695,3
Bottom,18,0.12223310,0.43567390,1222331,2
Bottom,19,0.12876680,,1287668,0
Bottom,20,0.12218550,0.43555930,1221855,2
Bottom,21,0.10481180,0.31337380,1048118,3
Bottom,22,0.08079750,0.20856200,807975,5
Bottom,23,0.05619190,0.12776450,561919,8
Bottom,24,0.03514850,0.07157260,351485,14
Bottom,25,0.01970990,0.03642410,197099,27
Bottom,26,0.00982540,0.01671420,98254,60
Bottom,27,0.00433420,0.00688880,43342,145
Bottom,28,0.00172180,0.00255460,17218,391
Bottom,29,0.00059590,0.00083280,5959,1201
Bottom,30,0.00017700,0.00023690,1770,4221
Bottom,31,0.00004900,0.00005990,490,16694
