Category,Difference,Observed Frequency,pValue,Cumulative
Consecutive Pairs,0,5637334,0.5637334,0.5637334
Consecutive Pairs,1,3637171,0.3637171,0.9274505000000001
Consecutive Pairs,2,683541,0.0683541,0.0
Consecutive Pairs,3,41335,0.0041335,0.0041954
Consecutive Pairs,4,619,6.19e-05,6.19e-05
Low - High,-5,270128,0.0270128,0.0270128
Low - High,-3,1600491,0.1600491,0.1870619
Low - High,-1,3385492,0.3385492,0.5256111
Low - High,1,3195675,0.3195675,0.4743889
Low - High,3,1346475,0.1346475,0.1548214
Low - High,5,201739,0.0201739,0.0201739
Odd - Even,-5,202623,0.0202623,0.0202623
Odd - Even,-3,1345280,0.134528,0.15479030000000002
Odd - Even,-1,3197668,0.3197668,0.47455710000000006
Odd - Even,1,3386487,0.3386487,0.5254429
Odd - Even,3,1598498,0.1598498,0.1867942
Odd - Even,5,269444,0.0269444,0.0269444
Spread,4,619,6.19e-05,6.19e-05
Spread,5,2363,0.0002363,0.0002982
Spread,6,5652,0.0005652,0.0008634
Spread,7,11075,0.0011075,0.0019709
Spread,8,18934,0.0018934,0.0038642999999999998
Spread,9,29347,0.0029347,0.0067989999999999995
Spread,10,42398,0.0042398,0.0110388
Spread,11,58331,0.0058331,0.0168719
Spread,12,77429,0.0077429,0.0246148
Spread,13,99191,0.0099191,0.0345339
Spread,14,124915,0.0124915,0.0470254
Spread,15,151045,0.0151045,0.0621299
Spread,16,181844,0.0181844,0.0803143
Spread,17,214862,0.0214862,0.1018005
Spread,18,248641,0.0248641,0.12666460000000002
Spread,19,283035,0.0283035,0.15496810000000003
Spread,20,319252,0.0319252,0.18689330000000004
Spread,21,356644,0.0356644,0.0
Spread,22,394009,0.0394009,0.7774422999999999
Spread,23,428522,0.0428522,0.7380414
Spread,24,461959,0.0461959,0.6951892
Spread,25,491950,0.049195,0.6489933
Spread,26,519175,0.0519175,0.5997983
Spread,27,541777,0.0541777,0.5478808000000001
Spread,28,558180,0.055818,0.4937031
Spread,29,569142,0.0569142,0.4378851
Spread,30,571455,0.0571455,0.3809709
Spread,31,563161,0.0563161,0.3238254
Spread,32,545164,0.0545164,0.2675093
Spread,33,516307,0.0516307,0.2129929
Spread,34,474232,0.0474232,0.1613622
Spread,35,414745,0.0414745,0.113939
Spread,36,341387,0.0341387,0.0724645
Spread,37,247603,0.0247603,0.0383258
Spread,38,135655,0.0135655,0.0135655
Sum,15,16,1.6e-06,1.6e-06
Sum,16,11,1.1e-06,2.7e-06
Sum,17,30,3e-06,5.7e-06
Sum,18,58,5.8e-06,1.15e-05
Sum,19,83,8.3e-06,1.98e-05
Sum,20,114,1.14e-05,3.12e-05
Sum,21,176,1.76e-05,4.88e-05
Sum,22,232,2.32e-05,7.2e-05
Sum,23,306,3.06e-05,0.0001026
Sum,24,410,4.1e-05,0.0001436
Sum,25,496,4.96e-05,0.00019319999999999998
Sum,26,656,6.56e-05,0.0002588
Sum,27,831,8.31e-05,0.0003419
Sum,28,976,9.76e-05,0.0004395
Sum,29,1205,0.0001205,0.00056
Sum,30,1420,0.000142,0.0007019999999999999
Sum,31,1798,0.0001798,0.0008818
Sum,32,2077,0.0002077,0.0010895
Sum,33,2455,0.0002455,0.001335
Sum,34,2791,0.0002791,0.0016141
Sum,35,3247,0.0003247,0.0019388
Sum,36,3848,0.0003848,0.0023236
Sum,37,4369,0.0004369,0.0027605
Sum,38,4961,0.0004961,0.0032566
Sum,39,5790,0.000579,0.0038356
Sum,40,6574,0.0006574,0.0044930000000000005
Sum,41,7412,0.0007412,0.0052342000000000005
Sum,42,8439,0.0008439,0.0060781
Sum,43,9590,0.000959,0.0070371
Sum,44,10656,0.0010656,0.008102700000000001
Sum,45,11674,0.0011674,0.009270100000000002
Sum,46,12967,0.0012967,0.010566800000000001
Sum,47,14448,0.0014448,0.0120116
Sum,48,15959,0.0015959,0.013607500000000002
Sum,49,17699,0.0017699,0.015377400000000001
Sum,50,19385,0.0019385,0.017315900000000002
Sum,51,21322,0.0021322,0.019448100000000003
Sum,52,23568,0.0023568,0.021804900000000002
Sum,53,25359,0.0025359,0.024340800000000003
Sum,54,27495,0.0027495,0.027090300000000005
Sum,55,29831,0.0029831,0.030073400000000004
Sum,56,32874,0.0032874,0.0333608
Sum,57,34963,0.0034963,0.036857100000000004
Sum,58,38001,0.0038001,0.040657200000000004
Sum,59,40998,0.0040998,0.044757000000000005
