Category,Value,Frequency,P-Value,Cumulative P
Consecutive Pairs,0,6488,0.5680266153037997,0.5680266153037997
Consecutive Pairs,1,4087,0.3578182454911574,0.9258448607949571
Consecutive Pairs,2,787,0.068902118718263,0.9947469795132201
Consecutive Pairs,3,59,0.0051654701453335665,0.9999124496585536
Consecutive Pairs,4,1,8.755034144633164e-05,1.0
Low - High,-38,145,0.012694799509718089,0.012694799509718089
Low - High,-37,299,0.02617755209245316,0.03887235160217125
Low - High,-36,414,0.0362458413587813,0.07511819296095255
Low - High,-35,478,0.04184906321134652,0.11696725617229907
Low - High,-34,526,0.04605147960077044,0.16301873577306952
Low - High,-33,562,0.04920329189283838,0.2122220276659079
Low - High,-32,613,0.0536683593066013,0.2658903869725092
Low - High,-31,654,0.05725792330590089,0.32314831027841007
Low - High,-30,640,0.05603221852565225,0.37918052880406233
Low - High,-29,640,0.05603221852565225,0.4352127473297146
Low - High,-28,631,0.05524426545263526,0.4904570127823499
Low - High,-27,585,0.05121694974610401,0.5416739625284539
Low - High,-26,621,0.054368762038171946,0.5960427245666258
Low - High,-25,559,0.048940640868499384,0.6449833654351252
Low - High,-24,551,0.04824023813692874,0.6932236035720539
Low - High,-23,468,0.040973559796883205,0.7341971633689371
Low - High,-22,438,0.03834704955349326,0.7725442129224304
Low - High,-21,430,0.037646646821922605,0.810190859744353
Low - High,-20,367,0.032130975310803715,0.8423218350551567
Low - High,-19,302,0.026440203116792155,0.8687620381719489
Low - High,-18,285,0.02495184731220452,0.8937138854841534
Low - High,-17,251,0.021975135703029242,0.9156890211871827
Low - High,-16,220,0.01926107511819296,0.9349500963053756
Low - High,-15,174,0.015233759411661706,0.9501838557170373
Low - High,-14,148,0.012957450534057082,0.9631413062510944
Low - High,-13,134,0.01173174575380844,0.9748730520049028
Low - High,-12,95,0.008317282437401506,0.9831903344423043
Low - High,-11,64,0.005603221852565225,0.9887935562948695
Low - High,-10,51,0.004465067413762913,0.9932586237086325
Low - High,-9,29,0.0025389599019436174,0.9957975836105761
Low - High,-8,19,0.0016634564874803011,0.9974610400980564
Low - High,-7,15,0.0013132551216949746,0.9987742952197514
Low - High,-6,8,0.0007004027315706532,0.999474697951322
Low - High,-5,5,0.0004377517072316582,0.9999124496585536
Low - High,-4,1,8.755034144633164e-05,1.0
Odd - Even,-5,220,0.01926107511819296,0.01926107511819296
Odd - Even,-3,1514,0.13255121694974611,0.15181229206793906
Odd - Even,-1,3615,0.31649448432848887,0.4683067763964279
Odd - Even,1,3961,0.34678690246891963,0.8150936788653476
Odd - Even,3,1805,0.1580283663106286,0.9731220451759762
Odd - Even,5,307,0.026877954824023814,1.0
Spread,4,1,8.755034144633164e-05,8.755034144633164e-05
Spread,5,5,0.0004377517072316582,0.0005253020486779899
Spread,6,8,0.0007004027315706532,0.001225704780248643
Spread,7,15,0.0013132551216949746,0.0025389599019436174
Spread,8,19,0.0016634564874803011,0.004202416389423919
Spread,9,29,0.0025389599019436174,0.006741376291367536
Spread,10,51,0.004465067413762913,0.01120644370513045
Spread,11,64,0.005603221852565225,0.016809665557695676
Spread,12,95,0.008317282437401506,0.025126947995097182
Spread,13,134,0.01173174575380844,0.03685869374890562
Spread,14,148,0.012957450534057082,0.0498161442829627
Spread,15,174,0.015233759411661706,0.0650499036946244
Spread,16,220,0.01926107511819296,0.08431097881281736
Spread,17,251,0.021975135703029242,0.10628611451584662
Spread,18,285,0.02495184731220452,0.13123796182805114
Spread,19,302,0.026440203116792155,0.1576781649448433
Spread,20,367,0.032130975310803715,0.189809140255647
Spread,21,430,0.037646646821922605,0.2274557870775696
Spread,22,438,0.03834704955349326,0.26580283663106286
Spread,23,468,0.040973559796883205,0.3067763964279461
Spread,24,551,0.04824023813692874,0.3550166345648748
Spread,25,559,0.048940640868499384,0.4039572754333742
Spread,26,621,0.054368762038171946,0.45832603747154615
Spread,27,585,0.05121694974610401,0.5095429872176501
Spread,28,631,0.05524426545263526,0.5647872526702854
Spread,29,640,0.05603221852565225,0.6208194711959376
Spread,30,640,0.05603221852565225,0.6768516897215899
Spread,31,654,0.05725792330590089,0.7341096130274908
Spread,32,613,0.0536683593066013,0.7877779723340921
Spread,33,562,0.04920329189283838,0.8369812642269305
Spread,34,526,0.04605147960077044,0.8830327438277009
Spread,35,478,0.04184906321134652,0.9248818070390474
Spread,36,414,0.0362458413587813,0.9611276483978287
Spread,37,299,0.02617755209245316,0.9873052004902819
Spread,38,145,0.012694799509718089,1.0
Sum,25,1,8.755034144633164e-05,8.755034144633164e-05
Sum,26,2,0.0001751006828926633,0.00026265102433899493
Sum,27,1,8.755034144633164e-05,0.0003502013657853266
Sum,29,3,0.00026265102433899493,0.0006128523901243215
Sum,30,4,0.0003502013657853266,0.0009630537559096481
Sum,31,1,8.755034144633164e-05,0.0010506040973559797
Sum,32,4,0.0003502013657853266,0.0014008054631413063
Sum,33,1,8.755034144633164e-05,0.0014883558045876379
Sum,34,4,0.0003502013657853266,0.0018385571703729644
Sum,35,4,0.0003502013657853266,0.0021887585361582912
Sum,36,6,0.0005253020486779899,0.002714060584836281
Sum,37,8,0.0007004027315706532,0.003414463316406934
Sum,38,5,0.0004377517072316582,0.0038522150236385924
Sum,39,15,0.0013132551216949746,0.0051654701453335665
Sum,40,5,0.0004377517072316582,0.005603221852565225
Sum,41,13,0.0011381544388023113,0.006741376291367536
Sum,42,13,0.0011381544388023113,0.007879530730169847
Sum,43,8,0.0007004027315706532,0.008579933461740501
