Category,Difference,Observed Frequency,pValue,Cumulative
Consecutive Pairs,0.0,6495,0.5679930039352864,0.5679930039352864
Consecutive Pairs,1.0,4091,0.3577612592916484,0.9257542632269349
Consecutive Pairs,2.0,789,0.0689986882378662,0.0
Consecutive Pairs,3.0,59,0.005159597726278968,0.00524704853519895
Consecutive Pairs,4.0,1,8.745080891998251e-05,8.745080891998251e-05
Decade Cluster Score,2.0,7311,0.6393528640139922,0.6393528640139922
Decade Cluster Score,3.0,3627,0.3171840839527766,0.9565369479667687
Decade Cluster Score,4.0,482,0.04215128989943157,0.04346305203323131
Decade Cluster Score,5.0,15,0.0013117621337997377,0.0013117621337997377
Divisible by 3 Count,0.0,1304,0.1140358548316572,0.1140358548316572
Divisible by 3 Count,1.0,3836,0.3354613030170529,0.4494971578487101
Divisible by 3 Count,2.0,3996,0.3494534324442501,0.7989505902929601
Divisible by 3 Count,3.0,1903,0.1664188893747267,0.20104940970703977
Divisible by 3 Count,4.0,366,0.0320069960647136,0.03463052033231307
Divisible by 3 Count,5.0,30,0.0026235242675994755,0.0026235242675994755
Ending Digit Variety,2.0,45,0.003935286401399213,0.003935286401399213
Ending Digit Variety,3.0,1302,0.11386095321381723,0.11779623961521644
Ending Digit Variety,4.0,5576,0.4876257105378225,0.8822037603847837
Ending Digit Variety,5.0,4512,0.3945780498469611,0.3945780498469611
High Number Count,0.0,270,0.023611718408395276,0.023611718408395276
High Number Count,1.0,1530,0.13379973764757325,0.1574114560559685
High Number Count,2.0,3680,0.3218189768255356,0.47923043288150413
High Number Count,3.0,3844,0.33616090948841276,0.5207695671184959
High Number Count,4.0,1785,0.15609969392216877,0.18460865763008308
High Number Count,5.0,326,0.0285089637079143,0.0285089637079143
Low - High,-5.0,326,0.0285089637079143,0.0285089637079143
Low - High,-3.0,1785,0.15609969392216877,0.18460865763008308
Low - High,-1.0,3844,0.33616090948841276,0.5207695671184959
Low - High,1.0,3680,0.3218189768255356,0.47923043288150413
Low - High,3.0,1530,0.13379973764757325,0.1574114560559685
Low - High,5.0,270,0.023611718408395276,0.023611718408395276
Middle Third Count,0.0,1366,0.1194578049846961,0.1194578049846961
Middle Third Count,1.0,3934,0.3440314822912112,0.4634892872759073
Middle Third Count,2.0,3961,0.3463926541320507,0.8098819414079581
Middle Third Count,3.0,1792,0.15671184958460865,0.19011805859204198
Middle Third Count,4.0,365,0.031919545255793616,0.03340620900743332
Middle Third Count,5.0,17,0.0014866637516397026,0.0014866637516397026
Odd - Even,-5.0,220,0.019239177962396152,0.019239177962396152
Odd - Even,-3.0,1518,0.13275032794053346,0.15198950590292962
Odd - Even,-1.0,3617,0.3163095758635767,0.46829908176650636
Odd - Even,1.0,3966,0.34682990817665066,0.5317009182334937
Odd - Even,3.0,1806,0.15793616090948842,0.18487101005684303
Odd - Even,5.0,308,0.02693484914735461,0.02693484914735461
Prime Count,0.0,1618,0.1414954088325317,0.1414954088325317
Prime Count,1.0,4067,0.35566243987756885,0.49715784871010055
Prime Count,2.0,3892,0.3403585483165719,0.8375163970266725
Prime Count,3.0,1577,0.13790992566681243,0.1624836029733275
Prime Count,4.0,271,0.02369916921731526,0.024573677306515083
Prime Count,5.0,10,0.0008745080891998251,0.0008745080891998251
Spread,4.0,1,8.745080891998251e-05,8.745080891998251e-05
Spread,5.0,5,0.00043725404459991256,0.000524704853519895
Spread,6.0,8,0.0006996064713598601,0.001224311324879755
Spread,7.0,15,0.0013117621337997377,0.0025360734586794926
Spread,8.0,19,0.0016615653694796676,0.00419763882815916
Spread,9.0,29,0.0025360734586794926,0.006733712286838653
Spread,10.0,51,0.004459991254919108,0.011193703541757761
Spread,11.0,64,0.005596851770878881,0.01679055531263664
Spread,12.0,95,0.008307826847398338,0.02509838216003498
Spread,13.0,134,0.011718408395277656,0.03681679055531264
Spread,14.0,148,0.012942719720157411,0.04975951027547005
Spread,15.0,174,0.015216440752076957,0.06497595102754701
Spread,16.0,220,0.019239177962396152,0.08421512898994316
Spread,17.0,251,0.02195015303891561,0.10616528202885876
