1.  2, 9, 14, 33, 39
2.  2, 7, 9, 10, 39
3.  7, 10, 12, 28, 39
4.  3, 9, 12, 33, 39
5.  2, 10, 12, 14, 23
6.  7, 9, 10, 23, 28
7.  2, 7, 9, 12, 23
8.  7, 14, 28, 33, 39
9.  7, 9, 10, 33, 35
10.  2, 3, 14, 23, 28
11.  2, 3, 28, 33, 39
12.  3, 7, 9, 10, 12
13.  2, 7, 12, 14, 35
14.  3, 10, 14, 23, 33
15.  2, 9, 28, 35, 39
16.  2, 12, 23, 33, 35
17.  3, 12, 23, 28, 33
18.  10, 12, 23, 33, 39
19.  3, 10, 12, 14, 35
20.  7, 23, 28, 35, 39
21.  7, 12, 28, 33, 35
22.  2, 12, 14, 28, 39
23.  2, 7, 14, 23, 39
24.  7, 10, 12, 14, 33
25.  2, 9, 10, 12, 33
26.  3, 9, 14, 35, 39
27.  10, 14, 23, 35, 39
28.  2, 7, 12, 33, 39
29.  2, 3, 9, 12, 14
30.  2, 9, 23, 33, 39
31.  2, 3, 12, 23, 39
32.  2, 7, 10, 23, 33
33.  3, 7, 14, 23, 35
34.  9, 10, 28, 33, 39
35.  3, 10, 14, 28, 39
36.  3, 7, 23, 33, 39
37.  2, 3, 7, 12, 28
38.  3, 7, 10, 28, 35
39.  7, 12, 14, 35, 39
40.  2, 7, 9, 14, 28
41.  10, 14, 28, 33, 35
42.  2, 3, 9, 10, 23
43.  7, 9, 14, 23, 33
44.  2, 3, 7, 35, 39
45.  9, 10, 12, 28, 35
46.  2, 10, 33, 35, 39
47.  3, 7, 9, 28, 33
48.  2, 10, 23, 28, 39
49.  3, 9, 12, 23, 35
50.  2, 3, 14, 33, 35
51.  7, 10, 12, 23, 35
52.  9, 12, 23, 28, 39
53.  2, 10, 12, 28, 33
54.  3, 9, 14, 23, 39
55.  12, 14, 23, 28, 35
56.  2, 9, 14, 23, 35
57.  9, 12, 14, 33, 35
58.  2, 3, 7, 10, 14
59.  2, 9, 28, 33, 35
60.  9, 10, 12, 14, 23
61.  3, 12, 14, 28, 33
62.  3, 9, 10, 35, 39
63.  3, 12, 28, 35, 39
64.  2, 7, 23, 28, 35
65.  14, 23, 28, 33, 39
66.  7, 9, 12, 35, 39
67.  3, 7, 10, 33, 39
68.  7, 10, 14, 23, 28
69.  7, 9, 12, 14, 28
70.  2, 3, 9, 10, 28
71.  9, 10, 23, 33, 35
72.  3, 7, 9, 28, 39
73.  3, 10, 12, 23, 28
74.  2, 3, 10, 12, 39
75.  2, 9, 10, 14, 33
76.  7, 12, 14, 23, 39
77.  3, 10, 12, 33, 35
78.  2, 3, 7, 9, 33
79.  7, 10, 28, 35, 39
80.  3, 9, 14, 28, 35
81.  3, 23, 33, 35, 39
82.  9, 10, 12, 14, 39
83.  2, 7, 14, 28, 33
84.  7, 14, 23, 33, 35
85.  12, 14, 33, 35, 39
86.  2, 10, 14, 28, 35
87.  2, 3, 10, 23, 35
88.  7, 9, 10, 14, 35
89.  7, 9, 10, 23, 39
90.  2, 9, 12, 23, 28
91.  2, 12, 14, 23, 33
92.  2, 7, 10, 12, 35
93.  7, 9, 12, 23, 33
94.  10, 23, 28, 33, 35
95.  2, 3, 14, 33, 39
96.  7, 9, 33, 35, 39
97.  3, 7, 12, 33, 35
98.  2, 3, 7, 9, 35
99.  2, 12, 23, 35, 39
100.  2, 3, 12, 28, 35
101.  3, 9, 10, 14, 33
102.  2, 7, 10, 14, 39
103.  3, 7, 12, 14, 23
104.  9, 14, 23, 28, 33
105.  3, 7, 14, 28, 39
106.  2, 3, 7, 23, 28
107.  2, 7, 10, 28, 33
108.  3, 9, 23, 28, 35
109.  2, 9, 14, 28, 39
110.  2, 3, 9, 23, 33
111.  10, 14, 33, 35, 39
112.  7, 12, 23, 28, 33
113.  3, 28, 33, 35, 39
114.  2, 9, 12, 35, 39
115.  3, 7, 10, 23, 39
116.  3, 9, 12, 28, 39
117.  2, 7, 12, 28, 39
118.  3, 7, 10, 12, 28
119.  9, 10, 12, 28, 33
120.  2, 23, 28, 33, 39
121.  10, 12, 14, 28, 39
122.  9, 10, 14, 23, 28
123.  7, 9, 14, 33, 39
124.  10, 12, 23, 35, 39
125.  2, 7, 23, 33, 35
126.  2, 3, 14, 35, 39
127.  3, 7, 14, 33, 35
128.  3, 12, 14, 33, 39
129.  3, 10, 23, 28, 33
130.  3, 7, 9, 12, 14
131.  7, 9, 23, 28, 35
132.  2, 10, 12, 14, 35
133.  9, 14, 28, 35, 39
134.  9, 23, 33, 35, 39
135.  2, 3, 9, 10, 39
136.  2, 3, 10, 33, 35
137.  2, 3, 9, 12, 33
138.  2, 7, 9, 10, 12
139.  12, 28, 33, 35, 39
140.  7, 10, 12, 33, 39
141.  2, 10, 14, 23, 33
142.  2, 7, 9, 23, 39
143.  2, 9, 10, 23, 35
144.  2, 3, 7, 12, 23
145.  3, 14, 23, 28, 35
146.  2, 10, 28, 35, 39
147.  2, 14, 28, 33, 35
148.  2, 7, 33, 35, 39
149.  3, 10, 14, 23, 39
150.  2, 3, 10, 14, 28
151.  2, 3, 9, 14, 23
152.  2, 10, 12, 23, 28
153.  3, 9, 10, 12, 23
154.  7, 12, 14, 28, 35
155.  9, 12, 14, 23, 35
156.  3, 9, 14, 28, 33
157.  2, 7, 12, 14, 33
158.  2, 7, 9, 14, 35
159.  2, 14, 23, 35, 39
160.  3, 9, 23, 28, 39
161.  7, 12, 23, 28, 39
162.  3, 7, 9, 10, 14
163.  3, 7, 12, 35, 39
164.  3, 7, 9, 23, 35
165.  9, 12, 23, 33, 39
166.  3, 9, 10, 33, 39
167.  3, 12, 14, 23, 33
168.  3, 7, 10, 23, 33
169.  7, 10, 14, 28, 33
170.  3, 9, 10, 28, 35
171.  2, 9, 12, 14, 39
172.  2, 7, 9, 28, 33
173.  2, 9, 12, 28, 35
174.  9, 10, 12, 35, 39
175.  9, 12, 14, 28, 33
176.  7, 10, 14, 35, 39
177.  3, 7, 28, 33, 35
178.  2, 3, 9, 33, 35
179.  2, 3, 10, 12, 33
180.  2, 7, 14, 23, 28
181.  2, 3, 9, 28, 39
182.  2, 10, 12, 33, 39
183.  10, 12, 23, 33, 35
184.  2, 3, 12, 14, 35
185.  7, 23, 28, 33, 39
186.  3, 12, 14, 23, 39
187.  10, 23, 28, 33, 39
188.  7, 10, 12, 14, 23
189.  3, 10, 14, 23, 35
190.  7, 9, 14, 23, 39
191.  7, 9, 10, 28, 39
192.  3, 7, 9, 12, 39
193.  2, 3, 7, 14, 39
194.  2, 9, 10, 14, 39
195.  3, 10, 12, 14, 28
196.  2, 3, 23, 28, 33
197.  10, 12, 23, 28, 35
198.  2, 3, 7, 10, 35
199.  2, 3, 23, 35, 39
200.  3, 9, 12, 33, 35
201.  9, 23, 28, 33, 35
202.  10, 12, 14, 33, 39
203.  7, 9, 12, 28, 35
204.  14, 23, 28, 35, 39
205.  7, 10, 23, 33, 35
206.  9, 14, 23, 33, 35
207.  7, 12, 23, 35, 39
