Category,Difference,Observed Frequency,pValue,Cumulative
Consecutive Pairs,0.0,874,0.7313807531380753,0.7313807531380753
Consecutive Pairs,1.0,289,0.24184100418410043,0.9732217573221758
Consecutive Pairs,2.0,31,0.02594142259414226,0.026778242677824266
Consecutive Pairs,3.0,1,0.0008368200836820083,0.0008368200836820083
Decade Cluster Score,1.0,193,0.16150627615062763,0.16150627615062763
Decade Cluster Score,2.0,844,0.7062761506276151,0.8677824267782427
Decade Cluster Score,3.0,148,0.12384937238493723,0.1322175732217573
Decade Cluster Score,4.0,10,0.008368200836820083,0.008368200836820083
Divisible by 3 Count,0.0,123,0.10292887029288703,0.10292887029288703
Divisible by 3 Count,1.0,410,0.34309623430962344,0.44602510460251044
Divisible by 3 Count,2.0,384,0.3213389121338912,0.7673640167364016
Divisible by 3 Count,3.0,222,0.18577405857740587,0.23263598326359833
Divisible by 3 Count,4.0,53,0.04435146443514645,0.04686192468619247
Divisible by 3 Count,5.0,3,0.002510460251046025,0.002510460251046025
Ending Digit Variety,2.0,4,0.0033472803347280333,0.0033472803347280333
Ending Digit Variety,3.0,190,0.1589958158995816,0.16234309623430962
Ending Digit Variety,4.0,599,0.501255230125523,0.8376569037656904
Ending Digit Variety,5.0,402,0.3364016736401674,0.3364016736401674
High Number Count,0.0,38,0.031799163179916316,0.031799163179916316
High Number Count,1.0,151,0.12635983263598327,0.1581589958158996
High Number Count,2.0,372,0.3112970711297071,0.4694560669456067
High Number Count,3.0,415,0.3472803347280335,0.5305439330543933
High Number Count,4.0,177,0.14811715481171547,0.18326359832635983
High Number Count,5.0,42,0.035146443514644354,0.035146443514644354
Low - High,-5.0,42,0.035146443514644354,0.035146443514644354
Low - High,-3.0,177,0.14811715481171547,0.18326359832635983
Low - High,-1.0,415,0.3472803347280335,0.5305439330543933
Low - High,1.0,372,0.3112970711297071,0.4694560669456067
Low - High,3.0,151,0.12635983263598327,0.1581589958158996
Low - High,5.0,38,0.031799163179916316,0.031799163179916316
Middle Third Count,0.0,142,0.11882845188284519,0.11882845188284519
Middle Third Count,1.0,418,0.3497907949790795,0.4686192468619247
Middle Third Count,2.0,382,0.3196652719665272,0.788284518828452
Middle Third Count,3.0,207,0.17322175732217573,0.21171548117154812
Middle Third Count,4.0,43,0.03598326359832636,0.038493723849372385
Middle Third Count,5.0,3,0.002510460251046025,0.002510460251046025
Odd - Even,-5.0,30,0.02510460251046025,0.02510460251046025
Odd - Even,-3.0,167,0.1397489539748954,0.16485355648535566
Odd - Even,-1.0,370,0.30962343096234307,0.47447698744769873
Odd - Even,1.0,389,0.32552301255230126,0.5255230125523013
Odd - Even,3.0,208,0.17405857740585773,0.19999999999999998
Odd - Even,5.0,31,0.02594142259414226,0.02594142259414226
Prime Count,0.0,219,0.18326359832635983,0.18326359832635983
Prime Count,1.0,455,0.3807531380753138,0.5640167364016736
Prime Count,2.0,378,0.3163179916317992,0.0
Prime Count,3.0,126,0.10543933054393305,0.1196652719665272
Prime Count,4.0,17,0.014225941422594143,0.014225941422594143
Spread,13.0,3,0.002510460251046025,0.002510460251046025
Spread,14.0,4,0.0033472803347280333,0.005857740585774058
Spread,15.0,1,0.0008368200836820083,0.0066945606694560665
Spread,16.0,2,0.0016736401673640166,0.008368200836820083
Spread,17.0,5,0.0041841004184100415,0.012552301255230124
Spread,18.0,7,0.005857740585774059,0.01841004184100418
Spread,19.0,3,0.002510460251046025,0.02092050209205021
Spread,20.0,5,0.0041841004184100415,0.02510460251046025
Spread,21.0,9,0.007531380753138075,0.032635983263598324
Spread,22.0,5,0.0041841004184100415,0.03682008368200836
Spread,23.0,7,0.005857740585774059,0.042677824267782424
Spread,24.0,8,0.0066945606694560665,0.049372384937238493
Spread,25.0,13,0.010878661087866108,0.0602510460251046
Spread,26.0,14,0.011715481171548118,0.07196652719665272
Spread,27.0,12,0.0100418410041841,0.08200836820083682
Spread,28.0,14,0.011715481171548118,0.09372384937238494
Spread,29.0,21,0.017573221757322177,0.11129707112970712
Spread,30.0,22,0.018410041841004185,0.1297071129707113
Spread,31.0,11,0.009205020920502092,0.1389121338912134
Spread,32.0,17,0.014225941422594143,0.15313807531380755
Spread,33.0,16,0.013389121338912133,0.16652719665271967
Spread,34.0,24,0.0200836820083682,0.1866108786610879
Spread,35.0,14,0.011715481171548118,0.198326359832636
Spread,36.0,15,0.012552301255230125,0.21087866108786613
Spread,37.0,26,0.021757322175732216,0.23263598326359836
Spread,38.0,29,0.024267782426778243,0.2569037656903766
Spread,39.0,29,0.024267782426778243,0.28117154811715483
Spread,40.0,22,0.018410041841004185,0.29958158995815903
Spread,41.0,28,0.023430962343096235,0.700418410041841
Spread,42.0,27,0.022594142259414227,0.6769874476987447
Spread,43.0,32,0.026778242677824266,0.6543933054393305
Spread,44.0,30,0.02510460251046025,0.6276150627615062
Spread,45.0,28,0.023430962343096235,0.602510460251046
Spread,46.0,36,0.0301255230125523,0.5790794979079498
Spread,47.0,33,0.027615062761506277,0.5489539748953974
Spread,48.0,43,0.03598326359832636,0.5213389121338912
Spread,49.0,36,0.0301255230125523,0.48535564853556484
Spread,50.0,41,0.03430962343096234,0.45523012552301256
Spread,51.0,39,0.032635983263598324,0.42092050209205023
Spread,52.0,29,0.024267782426778243,0.3882845188284519
Spread,53.0,41,0.03430962343096234,0.36401673640167365
Spread,54.0,34,0.028451882845188285,0.3297071129707113
Spread,55.0,43,0.03598326359832636,0.301255230125523
Spread,56.0,39,0.032635983263598324,0.26527196652719665
Spread,57.0,30,0.02510460251046025,0.23263598326359833
Spread,58.0,29,0.024267782426778243,0.20753138075313807
Spread,59.0,29,0.024267782426778243,0.18326359832635983
Spread,60.0,33,0.027615062761506277,0.1589958158995816
Spread,61.0,36,0.0301255230125523,0.13138075313807532
Spread,62.0,22,0.018410041841004185,0.10125523012552302
Spread,63.0,21,0.017573221757322177,0.08284518828451884
Spread,64.0,22,0.018410041841004185,0.06527196652719666
Spread,65.0,21,0.017573221757322177,0.04686192468619247
Spread,66.0,15,0.012552301255230125,0.029288702928870293
Spread,67.0,11,0.009205020920502092,0.01673640167364017
Spread,68.0,9,0.007531380753138075,0.007531380753138075
Standard Deviation,4.41,1,0.0008368200836820083,0.0008368200836820083
Standard Deviation,4.56,1,0.0008368200836820083,0.0016736401673640166
Standard Deviation,4.62,1,0.0008368200836820083,0.002510460251046025
Standard Deviation,4.92,1,0.0008368200836820083,0.0033472803347280333
Standard Deviation,5.1,1,0.0008368200836820083,0.0041841004184100415
Standard Deviation,5.12,1,0.0008368200836820083,0.00502092050209205
Standard Deviation,5.19,2,0.0016736401673640166,0.0066945606694560665
Standard Deviation,5.31,1,0.0008368200836820083,0.007531380753138075
Standard Deviation,5.78,1,0.0008368200836820083,0.008368200836820083
Standard Deviation,5.83,1,0.0008368200836820083,0.00920502092050209
Standard Deviation,5.91,1,0.0008368200836820083,0.010041841004184099
Standard Deviation,6.02,1,0.0008368200836820083,0.010878661087866106
Standard Deviation,6.05,1,0.0008368200836820083,0.011715481171548114
Standard Deviation,6.18,1,0.0008368200836820083,0.012552301255230122
Standard Deviation,6.23,1,0.0008368200836820083,0.01338912133891213
Standard Deviation,6.47,1,0.0008368200836820083,0.014225941422594137
Standard Deviation,6.55,1,0.0008368200836820083,0.015062761506276145
Standard Deviation,6.59,1,0.0008368200836820083,0.015899581589958155
Standard Deviation,6.62,1,0.0008368200836820083,0.016736401673640162
Standard Deviation,6.65,1,0.0008368200836820083,0.01757322175732217
Standard Deviation,6.68,1,0.0008368200836820083,0.018410041841004178
Standard Deviation,6.82,1,0.0008368200836820083,0.019246861924686186
Standard Deviation,6.83,1,0.0008368200836820083,0.020083682008368194
Standard Deviation,6.89,1,0.0008368200836820083,0.0209205020920502
Standard Deviation,6.94,1,0.0008368200836820083,0.02175732217573221
Standard Deviation,6.97,2,0.0016736401673640166,0.023430962343096225
Standard Deviation,7.0,1,0.0008368200836820083,0.024267782426778232
Standard Deviation,7.17,1,0.0008368200836820083,0.02510460251046024
Standard Deviation,7.22,1,0.0008368200836820083,0.025941422594142248
Standard Deviation,7.36,1,0.0008368200836820083,0.026778242677824256
Standard Deviation,7.39,1,0.0008368200836820083,0.027615062761506264
Standard Deviation,7.51,1,0.0008368200836820083,0.02845188284518827
Standard Deviation,7.56,1,0.0008368200836820083,0.02928870292887028
Standard Deviation,7.7,1,0.0008368200836820083,0.030125523012552287
Standard Deviation,7.88,1,0.0008368200836820083,0.030962343096234295
Standard Deviation,7.92,1,0.0008368200836820083,0.0317991631799163
Standard Deviation,8.06,1,0.0008368200836820083,0.03263598326359831
Standard Deviation,8.11,1,0.0008368200836820083,0.03347280334728032
Standard Deviation,8.12,2,0.0016736401673640166,0.035146443514644334
Standard Deviation,8.16,1,0.0008368200836820083,0.03598326359832634
Standard Deviation,8.19,1,0.0008368200836820083,0.03682008368200835
Standard Deviation,8.28,1,0.0008368200836820083,0.03765690376569036
Standard Deviation,8.42,1,0.0008368200836820083,0.038493723849372365
Standard Deviation,8.45,1,0.0008368200836820083,0.03933054393305437
Standard Deviation,8.56,1,0.0008368200836820083,0.04016736401673638
Standard Deviation,8.59,1,0.0008368200836820083,0.04100418410041839
Standard Deviation,8.64,1,0.0008368200836820083,0.041841004184100396
Standard Deviation,8.69,2,0.0016736401673640166,0.04351464435146441
Standard Deviation,8.74,1,0.0008368200836820083,0.04435146443514642
Standard Deviation,8.84,1,0.0008368200836820083,0.04518828451882843
Standard Deviation,8.85,1,0.0008368200836820083,0.046025104602510435
Standard Deviation,8.86,1,0.0008368200836820083,0.04686192468619244
Standard Deviation,8.87,1,0.0008368200836820083,0.04769874476987445
Standard Deviation,8.89,2,0.0016736401673640166,0.049372384937238466
Standard Deviation,8.93,1,0.0008368200836820083,0.050209205020920473
Standard Deviation,8.94,1,0.0008368200836820083,0.05104602510460248
Standard Deviation,9.04,1,0.0008368200836820083,0.05188284518828449
Standard Deviation,9.11,1,0.0008368200836820083,0.0527196652719665
Standard Deviation,9.14,1,0.0008368200836820083,0.053556485355648505
Standard Deviation,9.22,1,0.0008368200836820083,0.05439330543933051
Standard Deviation,9.24,1,0.0008368200836820083,0.05523012552301252
Standard Deviation,9.3,1,0.0008368200836820083,0.05606694560669453
Standard Deviation,9.36,1,0.0008368200836820083,0.056903765690376536
Standard Deviation,9.38,1,0.0008368200836820083,0.057740585774058543
Standard Deviation,9.41,1,0.0008368200836820083,0.05857740585774055
Standard Deviation,9.44,1,0.0008368200836820083,0.05941422594142256
Standard Deviation,9.45,1,0.0008368200836820083,0.06025104602510457
Standard Deviation,9.48,1,0.0008368200836820083,0.061087866108786575
Standard Deviation,9.49,1,0.0008368200836820083,0.06192468619246858
Standard Deviation,9.5,1,0.0008368200836820083,0.0627615062761506
Standard Deviation,9.51,1,0.0008368200836820083,0.0635983263598326
Standard Deviation,9.52,2,0.0016736401673640166,0.06527196652719662
Standard Deviation,9.62,1,0.0008368200836820083,0.06610878661087863
Standard Deviation,9.68,1,0.0008368200836820083,0.06694560669456064
Standard Deviation,9.69,2,0.0016736401673640166,0.06861924686192465
Standard Deviation,9.72,1,0.0008368200836820083,0.06945606694560666
Standard Deviation,9.74,1,0.0008368200836820083,0.07029288702928867
Standard Deviation,9.76,1,0.0008368200836820083,0.07112970711297067
Standard Deviation,9.77,1,0.0008368200836820083,0.07196652719665268
Standard Deviation,9.84,1,0.0008368200836820083,0.07280334728033469
Standard Deviation,9.85,1,0.0008368200836820083,0.0736401673640167
Standard Deviation,9.87,1,0.0008368200836820083,0.0744769874476987
Standard Deviation,9.89,1,0.0008368200836820083,0.07531380753138071
Standard Deviation,9.95,2,0.0016736401673640166,0.07698744769874473
