game_N,39,pool,2,9,11,15,19,21,23,27,28,30,31,32
tickets,42,tau,20,w4,1.0,w3,0.1
note,Powerball users: these are white-ball picks; choose Powerball separately.

Ticket #,n1,n2,n3,n4,n5
1,9,21,27,31,32
2,2,9,11,19,28
3,9,19,21,23,30
4,15,23,28,30,31
5,11,15,19,23,32
6,2,11,27,30,31
7,2,9,15,30,32
8,2,21,23,27,28
9,11,21,28,30,32
10,2,15,19,21,31
11,9,11,15,21,27
12,15,19,27,28,30
13,19,27,28,31,32
14,2,11,23,31,32
15,9,11,23,27,28
16,9,11,19,30,31
17,2,15,23,27,32
18,9,15,21,28,31
19,2,19,23,27,30
20,2,11,15,28,31
21,2,9,19,21,32
22,2,9,23,27,31
23,15,21,23,31,32
24,9,15,23,28,32
25,11,19,21,23,31
26,11,19,27,30,32
27,15,21,27,30,31
28,9,19,21,27,28
29,2,11,21,23,30
30,2,28,30,31,32
31,9,11,15,28,30
32,9,11,23,30,32
33,2,19,23,28,32
34,9,15,19,27,32
35,9,27,28,30,32
36,2,11,15,19,30
37,15,19,30,31,32
38,2,15,21,28,32
39,11,15,19,27,31
40,2,11,19,21,27
41,2,19,21,28,30
42,9,11,15,31,32
